id,song_name,artist_name,genres
1,Yenti Yenti,Chinmayi,"Movie, Romantic"
2,Here comes the sun,The Beatles,"Pop, rock"
3,Coming back to life,Pink Floyd,"Rock,contemporary"
4,Creep,RadioHead,Rock
5,I will be there for yoo,The Rembrandts,Romantic
6,Pretender,Foo Fighters,Rock
7,Wonderwall,The Oasis,Rock
8,Adams Song,Blink 182,"Rock,contemporary"
9,I miss u,Blink 182,"Movie, Romantic"
10,Small Thimgs,Blink 182,"Romantic, Punk Rock"
51,Señorita,Shawn Mendes,"canadian pop, hip hop"
52,China,Anuel AA,"reggaeton flow, latin"
53,boyfriend (with Social House),Ariana Grande,dance pop
54,Beautiful People (feat. Khalid),Ed Sheeran,"pop, movie"
55,Goodbyes (Feat. Young Thug),Post Malone,"dfw rap, hiphop"
55,I Don't Care (with Justin Bieber),Ed Sheeran,pop
57,Ransom,Lil Tecca,"trap music, latin"
58,How Do You Sleep?,Sam Smith,"pop, Romantic"
59,Old Town Road - Remix,Lil Nas X,"country rap, rock"
70,bad guy,Billie Eilish,"electropop , edm"
11,Callaita,Bad Bunny,reggaeton
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop
13,Someone You Loved,Lewis Capaldi,"pop, Romantic"
14,Otro Trago - Remix,Sech,"panamanian pop, edm"
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop
16,No Guidance (feat. Drake),Chris Brown,"dance pop, edm"
17,LA CANCIÓN,J Balvin,latin
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap
19,Lalala,Y2K,"canadian hip hop, edm"
20,Truth Hurts,Lizzo,escape room
21,Piece Of Your Heart,MEDUZA,pop house
22,Panini,Lil Nas X,country rap
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow
24,Soltera - Remix,Lunay,latin
25,bad guy (with Justin Bieber),Billie Eilish,electropop
26,If I Can't Have You,Shawn Mendes,canadian pop
27,Dance Monkey,Tones and I,australian pop
28,It's You,Ali Gatie,canadian hip hop
29,Con Calma,Daddy Yankee,latin
30,QUE PRETENDES,J Balvin,latin
31,Takeaway,The Chainsmokers,edm
32,7 rings,Ariana Grande,"dance pop,edm"
33,0.958333333,Maluma,"reggaeton, latin"
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop
35,Never Really Over,Katy Perry,dance pop
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room
37,Otro Trago,Sech,"panamanian pop, edm"
38,Antisocial (with Travis Scott),Ed Sheeran,"pop, Rock"
39,Sucker,Jonas Brothers,boy band
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop
41,Higher Love,Kygo,edm
42,You Need To Calm Down,Taylor Swift,"dance pop, pop, romantic"
43,Shallow,Lady Gaga,dance pop
44,Talk,Khalid,pop
45,Con Altura,ROSALÍA,"r&b en espanol, pop"
46,One Thing Right,Marshmello,brostep
47,Te Robaré,Nicky Jam,"latin , movie"
48,Happier,Marshmello,brostep
49,Call You Mine,The Chainsmokers,edm
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop
